,,,,,,,,,,,,,,,,,,,,
,,Nº REGISTRO,PLANOS (HIPERVINCULO),WEIGHT,MEDIDAS,ESCALA,GENERAL TOLERANCE,Nº ALMACENAJE,MATERIAL,COATING,CODE,DWG.,DWG. DATE,APPR.,APPR. DATE,COMPANY,Column 19,PAPER,ENLACE,COMMENTS
,65,T01.03.17,SPRING LEAF,"0,07KG",A3,1:1,DIN 7168F,T01.04.18,55 Si 7 TEMPERED,BLACK CHEMICAL OXYDATION,,A.N.N,4/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-17_Spring_Leaf.jpeg,
,66,T01.03.20,PLATE A,"0,14KG",A3,1:1,DIN 7168M,T01.04.18,St,BLACK PAINT,,A.N.N,6/11/1986,D/S,D/S,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-20_Plate_A.jpeg,
,67,T01.03.21,PLATE B,"0,09KG",A3,1:1,DIN 7168M,T01.04.18,St,BLACK PAINT,,A.N.N,6/11/1986,D/S,D/S,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-21_Plate_B.jpeg,
,68,T01.04,LINEAR MOTOR,2KG,A3,1:1,N/A,T01.04.18,N/A,D/S,,A.N.N,10/5/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04_Linear_Motor.jpeg,
,69,T01.04.01,DEFINING PIECE,"0,027KG",A4,2:1,DIN 7168F,T01.04.18,C 15,BLACK CHEMICAL OXYDATION,,A.N.N,26/6/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04-01_Defining_Piece.jpeg,
,70,T01.04.03,BELLOWS DISK,"0,054KG",A4,2:1,DIN 7168F,T01.04.18,BRASS,BLACK CHEMICAL OXYDATION,,A.N.N,25/6/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04-03_Bellows_Disk.jpeg,
,71,T01.04.05,RATCHET DRUM,"0,07KG",A3,2:1,DIN 7168F,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,25/6/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04-05_Ratchet_Drum.jpeg,
,72,T01.04.06,RATCHET DISK,"0,04KG",A3,2:1,DIN 7168F,T01.04.18,St 50-2,BLACK CHEMICAL OXYDATION,,A.N.N,26/6/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04-06_Ratchet_Disk.jpeg,
,73,T01.04.08,THREADED FLANGE,"0,2KG",A3,2:1,DIN 7168F,T01.04.18,BRONZE,BLACK CHEMICAL OXYDATION,,A.N.N,25/6/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04-08_Threaded_Flange.jpeg,
,74,T01.04.09,HOUSING,"0,5KG",A3,2:1,DIN 7168F,T01.04.18,BRASS,BLACK CHEMICAL OXYDATION,,A.N.N,26/6/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04-09_Housing.jpeg,
,75,T01.04.10,RATCHET,"0,009KG",A4,2:1,DIN 7168F,T01.04.18,SPRING STEEL DIN 55 Si 7,BLACK CHEMICAL OXYDATION,,A.N.N,27/6/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04-10_Ratchet.jpeg,
,76,T01.04.11,DISK,"0,032KG",A4,2:1,DIN 7168F,T01.04.18,St 50-2,BLACK CHEMICAL OXYDATION,,A.N.N,25/6/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04-11_Disk.jpeg,?
,77,T01.04.13,RATCHET SHAFT,"0,035KG",A4,2:1,DIN 7168F,T01.04.18,St 50-2,BLACK CHEMICAL OXYDATION,,A.N.N,28/6/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04-13_Ratchet_Shaft.jpeg,?
,78,T01.04.18,BUSHING,N/A,A4,2:1,DIN 7168F,T01.04.18,PTFE+5%Mo S2,D/S,,A.N.N,30/1/1986,P.H.J,31/1/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-04-18_Bushing.jpeg,
,79,T04,TELESCOPE FORK,"20,6T",A1,1;25,N/A,T04-T04.08 (4),N/A,D/S,,A.N.N,2/10/1985,P.H.J,2/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T04.jpg,
,80,T04.01,FORK STRUCTURE,"17,2T",A1,"1;25 (1:2,5) 1:1",N/A,T04-T04.08 (4),N/A,D/S,,D/S,D/S,P.H.J,2/10/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T04-01.jpg,
,81,T04.01.01,FORK,"16,9T",A1,1:25.,DIN 7168M,T04-T04.08 (4),R St 37-2,PAINT,,D/S,D/S,P.H.J,2/10/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,82,T04.01.01A,FORK SIDE VIEW A,N/A,A1,"1:10 (1:2,5)",DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,D/S,D/S,P.H.J,14/3/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T04-01-01A.jpg,
,83,T04.01.01B,FORK SIDE VIEW B,N/A,A1,"1:10 (1:2,5)",DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,B.S,21/11/1985,P.H.J,3/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T04-01-01B.jpg,
,84,T04.01.01C,FORK FRONT VIEW C,N/A,A1,"1:10 (1:2,5)",DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,B.S ,22/11/1985,P.H.J,3/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T04-01-01C.jpg,
,85,T04.01.01D,FORK TOP VIEW D,N/A,A1,"1:10 (1:2,5)",DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,L.O.K,26/11/1985,P.H.J,3/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,86,T04. 01.01 E,FORK BOTTOM VIEW E,N/A,A1,"1:10 (1:2,5)",DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,L.O.K,22/11/1985,P.H.J,3/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,87,T04.01.01 F,FORK SECTION F,N/A,A1,"1:10 (1:2,5)",DIN 7168M,T04-T04.08 (4),R St 37-2 ,D/S,,B.S,28/11/1985,P.H.J,3/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,88,T04.01.01G,FORK SECTION G,N/A,A1,"1:10 (1:2,5)",DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,B.S,29/11/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,89,T04.01.01H,FORK SECTION H,N/A,A1,"1:10 (1:2,5)",DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,D/S,D/S,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,90,T04.01.01I ,FORK SECTION I,N/A,A1,"1:10 (1:2,5)",DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,A.N.N,6/3/1986,P.H.J,7/3/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,91,T04.01.01J,FORK SECTION J,N/A,A1,"1:10 (1:2,5)",DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,D/S,D/S,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,92,T04.01.01K,FORK SECTIONS K-L-M,N/A,A1,1:10 (1:1),DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,D/S,D/S,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,93,T04.01.01L,FORK VIEWS N-O,N/A,A1,1:10.,DIN 7168M,T04-T04.08 (4),R St 37-2,D/S,,D/S,D/S,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,94,T04.01.02,COVER PLATE I,"19,5KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,D/S,D/S,P.H.J,2/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,95,T04.01.03,COVER PLATE II,"36,5KG",A3,"1:2,5 (1:1)",DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,D/S,D/S,P.H.J,2/10/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,96,T04.01.04,COVER PLATE III,"23,5 KG",A3,"1:2,5 (1:1)",DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,D/S,D/S,P.H.J,2/10/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,97,T04.01.05,SHELTER RING,"92,2KG",A1,1:10 (1:1),DIN 7168M,T04-T04.08 (4),R St 37-2,PAINT,,D/S,D/S,P.H.J,2/10/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,98,T04.01.12,COVER,1KG,A4,1:1,DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,A.N.N,13/3/1986,D/S,D/S,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,99,T04.02,AXIAL BEARING & CABLE TWIST,335KG,A1,"1:2,5",N/A,T04-T04.08 (4),N/A,D/S,,L.O.K,10/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,100,T04.02.01,BEARING HOUSING,101KG,A2,"1:2,5 (1:1)",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,4/10/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,101,T04.02.02,CABLE HOUSING OUTSIDE,"49,0KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,27/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,102,T04.02.03,BEARING CAP,"26,0KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,3/10/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,103,T04.02.04,LABYRINT SEAL INNER,"2,0KG",A4,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,13/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,104,T04.02.05,BEARING CAP,"13,0 KG",A4,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37/2,BLACK CHEMICAL OXYDATION,,L.O.K,16/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,105,T04.02.06,SCREW,"0,04KG",A4,5:1,DIN 7168M,T04-T04.08 (4),UNBRANCO SCREW,D/S,,L.O.K,17/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,106,T04.02.07,SPRING CASE ,"8,4KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,2/10/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,107,T04.02.08 ,PLUNGER,"0,1KG ",A4,1:1,DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,18/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,108,T04.02.09,CABLE BUSHING,"0,04KG",A4,1:1,DIN 7168M,T04-T04.08 (4),"PA 6.6 + PE (NYLON 6,6+POLYETHYLEN)",D/S,,L.O.K,11/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,109,T04.02.10,CABLE SUPPORT,"2,7KG",A4,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,19/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,110,T04.02.11,SHIM RING ,"3,0KG",A4,1:5,DIN 7168M,T04-T04.08 (4),St37-2,BLACK CHEMICAL OXYDATION,,L.O.K,20/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,111,T04.02.12,LABYRINT SEAL OUTER,"3,4KG",A4,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,12/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,112,T04.02.13,SHIM RING ,"2,0KG",A4,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,23/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,113,T04.02.14,CABLE HOUSING INSIDE,"15,4KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,30/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,114,T04.02.15,WIRE CLAMP,"0,006KG",A4,2:1,DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,25/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,115,T04.02.16,BEARING HOUSING INNER,"8,0KG",A3,1:1,DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,8/10/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,116,T04.02.17,SHAFT CABLE TWISTER,"6,8KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,26/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,117,T04.02.18,SHAFT AXIAL BEARING,"57,5KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,1/10/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,118,T04.03,GEAR COVER,195KG,A1,1:10 (1:1),N/A,T04-T04.08 (4),N/A,PAINT,,L.O.K,4/11/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,119,T04.03.01,COVER SECTION I,47KG,A1,1:5 (1:1),DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,L.O.K,24/10/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,120,T04.03.02,COVER SECTION II,47KG,A1,1:5 (1:1),DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,L.O.K,24/10/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,121,T04.03.03,COVER ON GEAR I,30KG,A1,1:5 (1:1),DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,L.O.K,30/10/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,122,T04.03.04,COVER ON GEAR II,6KG,A2,1:5,DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,L.O.K,29/10/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,123,T04.03.05,COVER AT THE MOTOR I,"8,7KG",A1,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,A.N.,3/3/1986,P.H.J,14/3/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,124,T04.03.06,COVER AT THE MOTOR II,"8,7KG",A1,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,A.N.,3/3/1986,P.H.J,14/3/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,125,T04.03.07,COVER SECTION III,11KG,A1,1:5 (1:1),DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,L.O.K,31/10/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,126,T04.04,AXIAL BEARING &ENCODER,280KG,A1,1:1,N/A,T04-T04.08 (4),N/A,D/S,,A.N.N,10/7/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,127,T04.04.01,SHAFT AXIAL BEARING,44KG,A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,9/10/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,128,T04.04.07,RING,10KG,A4,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,11/10/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,129,T04.04.08,COVER,38KG,A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,10/10/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,130,T04.05,SAFETY PIN,"7,5KG",A3,"1:2,5",N/A,T04-T04.08 (4),N/A,D/S,,B.S,12/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,131,T04.05.01,POLE,"3,8KG",A3,1:1,DIN 7168M,T04-T04.08 (4),St 50-2,BLACK CHEMICAL OXYDATION,,B.S,12/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,132,T04.05.02,ROD,"2,3KG",A3,1:1,DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,B.S,12/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,133,T04.05.03,FLANGE,"1,3KG",A4,1:1,DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,B.S,12/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,134,T04.05.04,FURNISHING,"0,1KG",A4,1:1,DIN 7168M,T04-T04.08 (4),St37-2,BLACK CHEMICAL OXYDATION,,B.S,12/9/1985,P.H.J,4/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,135,T04.06,MECHANICAL END-STOP. ALTITUDE,210KG,A1,"1:25 (1:2,5) (1:1)",N/A,T04-T04.08 (4),N/A,D/S,,B.S,31/10/1985,N.C.J,5/11/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,136,T04.06.01,HOUSE FOR SHOCK ABSORBER,"58,9KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,B.S,1/11/1985,N.C.J,5/11/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,137,T04.06.02,FRONT PLATE F. SHOCK ABSORBER,"14,1KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,B.S,31/10/1985,N.C.J,5/11/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,138,T04.07,MECHANICAL END-STOP AZIMUTH,210KG,A1,"1:25 (1:2,5)",N/A,T04-T04.08 (4),N/A,D/S,,A.N,12/9/1985,N.C.J,19/11/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,139,T04.07.01,BUFFER,"29,0KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,PAINT,,B.S,5/11/1985,N.C.J,19/11/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,140,T04.07.02,PLATE,"27,2KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,B.S,4/11/1985,N.C.J,19/11/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,141,T04.07.03,SHOCK ABSORBER PLATE,"21,5KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,NONE,,B.S,5/11/1985,N.C.J,19/11/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,142,T04.07.04,SHOCK ABSORBER COVER,"29,1KG",A3,"1:2,5",DIN 7168M,T04-T04.08 (4),St 37-2,BLACK CHEMICAL OXYDATION,,B.S,4/11/1985,N.C.J,19/11/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,143,T04.08,MOTOR WITH OVERSPEED TACHOMETER,450KG,A1,"1:2,5",N/A,T04.08-T05.04 (5),D/S,D/S,,L.O.K,18/11/1985,T.A,13/8/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,144,T04.08.01,MOTOR SHIELD,22KG,A3,"1:2,5",DIN 7168M,T04.08-T05.04 (5),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,20/11/1985,T.A,13/3/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,145,T04.08.02,SPACER RING,"0,8KG",A4,1:1,DIN 7168M,T04.08-T05.04 (5),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,19/11/1985,T.A,13/3/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,146,T04.08.03,SPACER RING,"0,5KG",A4,1:1,DIN 7168M,T04.08-T05.04 (5),St 37-2,BLACK CHEMICAL OXYDATION,,L.O.K,19/11/1985,T.A,13/3/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,147,T04.08.04,FLANGE,17KG,A3,"1:2,5",DIN 7168M,T04.08-T05.04 (5),X12 CrNi 18 8 OR SIMILAR,NON MAGNETIC STAINLESS,,L.O.K,20/11/1985,T.A,13/3/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
