,,,,,,,,,,,,,,,,,,,,
,,Nº REGISTRO,PLANOS (HIPERVINCULO),WEIGHT,MEDIDAS,ESCALA,GENERAL TOLERANCE,Nº ALMACENAJE,MATERIAL,COATING,CODE,DWG.,DWG. DATE,APPR.,APPR. DATE,COMPANY,Column 19,PAPER,ENLACE,COMMENTS
,17,T01.00.26,COUNTERWEIGTH RING,"38,10KG",A2,"1:2,5",DIN 7168M,T01.04.18,St37-2,BLACK CHEMICAL OXYDATION,,A.N.N,16/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-26_Counterweight_Ring.jpeg,
,18,T01.00.28,PLATE FOR CABLING,"0,2KG",A4,1:1,DIN 7168M,T01.04.18,St37-2,BLACK CHEMICAL OXYDATION,,A.N.N,20/11/0985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-28_Plate_for_Cabling.jpeg,
,19,T01.00.29,TUBE,42G,A4,1:1,N/A,T01.04.18,St,D/S,,D/S,D/S,P.H.J,1/6/1987,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-29_Tube.jpeg,
,20,T01.00.30,SCREW,28G,A4,1:1,N/A,T01.04.18,N/A,D/S,,D/S,D/S,P.H.J,1/6/1987,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-30_Screw.jpeg,
,21,T01.00.31,WASHER,8G,A4,1:1,N/A,T01.04.18,St 37-2,D/S,,D/S,D/S,P.H.J,1/6/1987,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-31_Washer.jpeg,
,22,T01.01,SECONDARY MIRROR WITH SUPPORT,"37,5KG",A1,1:1,N/A,T01.04.18,N/A,D/S,,A.N,3/6/1985,N.C.J,4/6/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-01_Secondary_mirror_with_Support.jpeg,
,23,T01.01.01,SECONDARY MIRROR,"35,43KG",A1,1:1,DIN 7168M,T01.04.18,ZERODUR,D/S,,A.N,14/05/1985,N.C.J,4/6/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,24,T01.01.01A,SECONDARY MIRROR BLANK,"35,43KG",A1,1:1,DIN 7168M,T01.04.18,ZERODUR,D/S,,A.N,14/5/1985,N.C.J,31/05/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-01-01A_Secondary_Mirror_Blank.jpeg,
,25,T01.01.02,RADIAL SUPPORT SHAFT,"1,56KG",A3,1:1,DIN 7168F,T01.04.18,INVAR,D/S,,A.N,21/10/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-01-02_Radial_Support_Shaft.jpeg,
,26,T01.01.03,INVAR DISK,"0,08KG",A4,1:1,DIN 7168F,T01.04.18,INVAR,D/S,,A.N,21/10/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-01-03_Invar_Disk.jpeg,
